f5,f6,f10,f11,f13,f14,f15,f16,f18,f19,f1_c0,f1_c1,f1_c10,f1_c11,f1_c2,f1_c3,f1_c4,f1_c5,f1_c6,f1_c7,f1_c8,f1_c9,f2_c0,f2_c1,f3_c0,f3_c2,f4_c0,f4_c1,f4_c2,f4_c3,f4_c4,f4_c5,f4_c6,f4_c7,f7_c0,f7_c1,f7_c2,f8_c0,f8_c1,f8_c2,f8_c3,f8_c4,f9_c0,f9_c1,f9_c2,f9_c3,f12_c0,f12_c1,f12_c2,f17_c0,f17_c1,f17_c2,f20_c10,f20_c11,f20_c2,f20_c3,f20_c4,f20_c5,f20_c6,f20_c7,f20_c8,f20_c9
0.22666666666666668,0.023809523809523808,0.9999999999999999,0.8597353497164448,0.6987529228371017,0.602510460251046,0.9375,0.9573696145124718,0.048263141715339686,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.26666666666666666,0.023809523809523808,0.9999999999999999,0.512287334593573,0.3406079501169188,0.15481171548117167,0.33333333333333337,0.1746031746031746,0.10605594835536428,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.33333333333333337,0.0,0.9999999999999999,0.512287334593573,0.269680436476996,0.19246861924686187,0.33333333333333337,0.1569160997732426,0.09345219797110359,0.16666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.30666666666666664,0.0,0.9999999999999999,1.0,0.8823070927513683,0.37656903765690397,1.0,0.9811791383219955,0.03197048877958807,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
0.21333333333333332,0.0,0.9999999999999999,0.8778827977315693,0.3893219017926768,0.36820083682008375,0.6875,0.7678004535147392,0.1386412542268675,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0.45333333333333337,0.0,0.9999999999999999,0.8778827977315693,0.3893219017926768,0.36820083682008375,0.6875,0.7678004535147392,0.06762988011066708,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0.41333333333333333,0.0,0.9999999999999999,1.0,0.4844115354637566,0.6150627615062758,1.0,0.981859410430839,0.03904088533661235,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.4,0.0,0.9999999999999999,0.8597353497164448,0.6987529228371017,0.602510460251046,0.9375,0.9573696145124718,0.055640946818321546,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.56,0.21428571428571427,0.9999999999999999,1.0,0.6691348402182413,0.33891213389121333,1.0,0.9811791383219955,0.06547802028896403,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.22666666666666668,0.047619047619047616,0.9999999999999999,1.0,0.8823070927513683,0.37656903765690397,1.0,0.9777777777777777,0.11712265600983707,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
